accountsservice 0.6.55-1
pa-applet 1.0.2-3
pacman 5.2.1-4
palemoon-bin 28.8.4-1
pamac-gtk 9.4.0rc4-3
patch 2.7.6-8
patchutils 0.3.4-3
pavucontrol 1:4.0-1
pciutils 3.6.4-1
pcmanfm 1.3.1-2
perl 5.30.1-1
perl-file-mimeinfo 0.29-2
pkgconf 1.6.3-3
playerctl 2.1.1-1
polkit-gnome 0.105-4
polybar 3.4.2-1
poppler-data 0.4.9-1
powertop 2.11-1
procps-ng 3.3.15-2
psmisc 23.3-2
pulseaudio-bluetooth-a2dp-gdm-fix 0.1-1.1
pulseaudio-equalizer-ladspa 3.0.2-2
pulseaudio-modules-bt-git r146.b02f9b6-1
pyenv 1.2.16-1
pyenv-virtualenv 1:1.1.5-3
pygtk 2.24.0-8
python-fontawesome 5.10.1.post1-1
python-pylint 2.4.4-1
qt5-styleplugins 5.0.0.20170311-19
qt5ct 0.41-2
ranger 1.9.3.4.gd8c363c9-1
redshift 1.12-3
reiserfsprogs 3.6.27-3
rofi 1.5.4-1
rsync 3.1.3-3
s-nail 14.9.17-1
sbxkb 0.7.6-3
screenfetch 3.9.1-1
screenrotator-git 1:r25.e1de8b7-1
sed 4.8-1
shadow 4.8.1-1
siji-git r23.c691f20-1
skypeforlinux-stable-bin 8.57.0.116-1
snapd 2.43.3-2
spectre-meltdown-checker 0.43-1
speedtest-cli 2.1.2-2
spotify 1:1.1.10.546-3
steam-manjaro 1.0.0.61-7
stow-git 20190728-1
subversion 1.13.0-2
sudo 1.8.31-1
sxhkd 0.6.1-1
sysfsutils 2.1.0-11
syslog-ng 3.25.1-4
systemd 244.3-2
systemd-fsck-silent 239-1
systemd-sysvcompat 244.3-2
tar 1.32-3
terminus-font 4.48-1
termite 15-1
texinfo 6.7-2
texlive-bibtexextra 2019.52577-1
texlive-bin 2019.51075-6
texlive-core 2019.52579-1
texlive-fontsextra 2019.52580-1
texlive-formatsextra 2019.51280-1
texlive-games 2019.52525-1
texlive-humanities 2019.52574-1
texlive-langchinese 2019.52237-1
texlive-langcyrillic 2019.52494-1
texlive-langextra 2019.52581-1
texlive-langgreek 2019.51628-1
texlive-langjapanese 2019.52531-1
texlive-langkorean 2019.51035-1
texlive-latexextra 2019.52575-1
texlive-music 2019.52275-1
texlive-pictures 2019.52499-1
